,confirmed_daily_ehma,deaths_daily_ehma,recovered_daily_ehma,prevalence_daily_ehma,incidence_rate_ehma,mortality_ehma,cfr_daily_ehma,cfr_cumulative_ehma
2/5/21,501315.0022831847,13337.58856484038,310888.7321241905,43414007.78058175,6.366321996828703,0.16936861417404403,2.6943817275344637,2.255652226672037
2/6/21,493425.9488621507,13251.81378338746,307877.42104750447,43588382.41525317,6.266184129628277,0.16842219651085957,2.7200403627074725,2.257501552008814
2/7/21,483711.85438995576,13048.696395464693,303181.6001347944,43757745.99770097,6.142863791943138,0.165930962523637,2.727570120944824,2.259288053108235
2/8/21,472331.2124522054,12787.413935353816,299648.3944825761,43919345.99796031,5.998453138185186,0.16268475295248197,2.7339207553312423,2.261225462803788
2/9/21,461948.00233898347,12570.226561547192,295734.15554836584,44074533.5128426,5.866688696415182,0.159944967485306,2.746627156821154,2.2632197206426063
2/10/21,453113.6708471185,12394.050976692237,293032.9783920166,44223618.49737919,5.754633790465928,0.15761376647311276,2.7598161439803857,2.2652055921825034
2/11/21,446115.2790697656,12264.829499023519,289868.4389772531,44368867.02122295,5.665914876773143,0.1558507490298794,2.772550714061129,2.267138961797353
2/12/21,440502.1518922961,12162.747870935613,286417.01231128204,44511936.524593696,5.594667575236859,0.15451524727078236,2.78302662388932,2.2689910994845235
2/13/21,435150.3190977458,12021.12412327669,283667.0711032362,44652437.615120634,5.526597449836825,0.15279455785069354,2.781586628497653,2.2709800945630336
2/14/21,428790.57066531637,11801.650904072501,280233.8314427433,44790133.720484905,5.44579154889103,0.15014569580114343,2.7652511501333064,2.2727794862437283
2/15/21,421330.52929397067,11545.215388395181,275599.80959795264,44925171.52646885,5.35093243301653,0.14692876406729993,2.746724397324272,2.27464336253704
2/16/21,415589.1718426791,11369.50710433624,272523.3709757175,45057639.77023093,5.277988476694238,0.14481591188653126,2.7382232557166226,2.2765071129032743
2/17/21,412380.6458027383,11275.427416253244,268947.1990765841,45190496.96307455,5.237206146956857,0.14373854176932888,2.733904513142328,2.2783268508393437
2/18/21,411157.6298128017,11205.098901746138,265545.5841894427,45325537.16792478,5.221589087474862,0.142918578056836,2.7238080716520963,2.2800738018946185
2/19/21,411052.35618653795,11141.861601765653,263110.50403971557,45462910.715427764,5.220135021618762,0.1420571036026243,2.7090820817065544,2.281730135313555
2/20/21,410643.4447441345,11042.05959394403,261164.38606119616,45601867.19869032,5.214901667783321,0.1407163536876286,2.687080225213463,2.283285874567895
2/21/21,407941.39484915714,10867.212629972206,257815.7583119067,45741596.13175476,5.180591351540521,0.13837456315699348,2.6585332713860934,2.284736613586648
2/22/21,403691.4856857957,10669.266790873673,254530.1874518367,45880514.31451172,5.1266308558000855,0.1358793485317558,2.634462285331025,2.286081834117108
2/23/21,398673.23664146924,10525.086867240774,252665.38348802112,46016383.05615443,5.062950843472749,0.13404579647261208,2.633090080802114,2.287323671088078
2/24/21,396281.918940268,10451.467737919837,250850.4804550755,46151712.61393615,5.032586920379862,0.1331763038174299,2.631849431003452,2.2884660113970026
2/25/21,396121.7689861934,10400.363595228222,249604.18428438474,46288146.464307725,5.030519532580339,0.1325108011908803,2.6224782069813686,2.289513840430307
2/26/21,397261.557949955,10368.96359292318,248209.74020315107,46427116.09709109,5.044894212369214,0.13199955279874898,2.609690340730893,2.290472772269026
2/27/21,398430.9544383828,10297.85675187676,246986.58730855965,46568522.349668704,5.059728674470828,0.13089806532768142,2.58639810226823,2.291348715743134
